id,landmarks
000088da12d664db,
0001623c6d808702,9245 0.522627
0001bbb682d45002,10255 0.284338
0002362830cfe3a3,9633 5.04712e-06
000270c9100de789,13067 0.256191
0002b0fab5d3ccc4,10834 0.0985365
000396be3c24830a,4551 0.290773
000506dc6ab3a40e,7337 0.152641
0005292fc4b005a3,10115 0.186062
0005456a82264bc8,3015 0.245698
00055cf2bfb5594a,11142 0.440959
000664eed4a70821,6651 0.110027
0006aea5b6f4eaaa,1405 0.27705
0006bbfa00dd6c0f,2814 0.13272
0008aee1c0abed9d,14310 0.753041
0008de5f3c25d563,14618 0.257213
00094466c9f054f4,11623 0.596462
0009f09a69405693,14187 0.343361
000a7f4a25af7558,165 0.631413
000a9180e4dc8705,1102 0.0486637
000aee511bc53f8b,13446 0.147155
000b55ddc1160a12,12450 0.519915
000c08916d77b8ba,8143 0.148288
000c2a80838aabff,5608 0.798377
000dad8a776a3631,12090 0.0937951
000e30f1e5b32741,3496 0.431492
000e47a43eb8a307,8382 0.218816
00108ec72b2344bd,4450 0.339941
0010ab920bac8640,13900 0.342402
0010e7cad366d6fa,4313 0.162391
001119140e4bb030,10291 0.256107
00129c981f8e343f,
0013a06d20c7839f,11784 0.804302
001490806c884d96,14869 0.0431708
0014be4f4910bbe6,12172 0.945042
0014ea5d819557be,14685 0.212472
0015898890608086,2476 0.587845
001645116c77f6be,2283 0.104487
001693c1ea808396,11621 0.228085
00169f449b4c60c0,14808 0.923873
0016de8fd1c3eab6,1403 0.0075124
0017719d5bba733c,1403 0.350067
0017d8ef2a3acd3c,10267 0.421705
0017deb491895bba,10282 0.895815
001800346d31f711,12090 0.621547
00181e5553bf2564,7012 0.522971
0018761e6c424bd4,1538 0.00424675
0018893bd38632df,2371 0.0337944
0018b97bd2b24bd7,8161 0.342597
0018d55375fc9760,406 0.661534
0019a87e323272b8,10675 0.30965
001a35e59d5aa6f1,7571 0.677527
001a459a0ea96691,4682 0.231135
001a60eb361ddcce,4873 0.31197
001a664af4c86522,7531 0.102252
001abaa4d7b1bff6,8809 0.459208
001ac16f4d40d767,5008 0.32069
001ae53b299b629c,8345 0.547197
