panoid	id	title	lat	lng	pitch	heading
loI_m3Jf178gWxPqDNMikw	merrial-beach-track	Merrial Beach Track	-10.47408	105.558835	2.22	197.63
keSDSJOBtcsZJZrbjoutgQ	lily-beach-1	Lily Beach	-10.466308	105.711693	2.86	18.88
BHQqtW1tCTuJXC5LkyLgkA	dolly-beach-1	Dolly Beach	-10.520641	105.675738	3.39	161.49
j7DLKf1xtsTZjGEb0KA1MQ	west-white-beach	West White Beach	-10.460865	105.579462	1.76	78.65
33_fYPkcCe6deuk3VyhK9g	the-dales	The Dales	-10.483353	105.554388	2.54	272.97
60dK0D73Z3wH8XJuEsUCkQ	greta-beach	Greta Beach	-10.50195	105.674651	10.65	14.94
y3X6XsNMpq47DV6Ma7Kguw	the-blowholes	The Blowholes	-10.514544	105.622572	0.9	140.79
wIM5VlJPTt7o7iqG-rlJqQ	ethel-beach	Ethel Beach	-10.464132	105.707699	-5.84	337.32
Klqtyc7yqUcOCCK5fhZrww	the-dales-1	The Dales	-10.478835	105.55961	-1.81	92.2
z0E0pMfUdLcXe39REnx_lQ	dolly-beach	Dolly Beach	-10.522095	105.675355	0.23	4.25
4rGEpaKXFUP1dlemOh6tIw	martin-point	Martin Point	-10.469337	105.557799	-6.06	248.09
TrqPhS3zECUlQXOTvMpYDQ	ethel-beach-1	Ethel Beach	-10.463977	105.708019	-15.01	28.47
t7cuPKkoopCjHGvQjNzEvw	boulder-track	Boulder track	-10.549466	105.638712	2.08	193.93
fqsImeBRzgmUbORQC6cd1Q	winifred-beach	Winifred Beach	-10.496783	105.546169	7.9	204.66
kgpWm1n-H_PPw36QXfVJ0Q	golf-course-lookout	Golf Course Lookout	-10.423823	105.698357	-1.58	128.77
6ar0ASl89xGt8gGoV5EtyQ	flying-fish-cove	Flying Fish Cove	-10.430159	105.668467	8.63	159.5
yAcqZ1K_RqAnVZxksMkITA	ethel-beach-2	Ethel Beach	-10.462708	105.706782	3.32	321.21
36K25w-78VGC_a0ehMtDpQ	merrial-beach-track-1	Merrial Beach Track	-10.474312	105.559443	-7.15	274.78
4_L-nULlJDYn2ekGBKHP5g	the-grotto-1	The Grotto	-10.42308	105.701954	2.7	75.87
0wGJRtTnNtPjsUnmuvSEFw	margaret-knoll-lookout	Margaret Knoll Lookout	-10.477045	105.684215	2.53	226.09
jXAuBkirV2Z6Jegs64gOgQ	lily-beach	Lily Beach	-10.466893	105.711355	-0.36	92.97
